model,fold,fold_n,fold_treated,fold_control,fold_effect_days
arm_mean,1,112,39,73,139.56104347756207
arm_mean,2,112,39,73,-187.63490428020464
arm_mean,3,112,39,73,-29.94726610019275
arm_mean,4,112,39,73,138.14283055425827
arm_mean,5,111,38,73,66.4107466603455
arm_ridge_unbounded,1,112,39,73,155.70151022819417
arm_ridge_unbounded,2,112,39,73,-205.35204317020916
arm_ridge_unbounded,3,112,39,73,-18.079640291275656
arm_ridge_unbounded,4,112,39,73,127.04480570247854
arm_ridge_unbounded,5,111,38,73,77.69213415737585
arm_ridge_bounded,1,112,39,73,154.06585388396778
arm_ridge_bounded,2,112,39,73,-203.97061434851094
arm_ridge_bounded,3,112,39,73,-18.463100468983875
arm_ridge_bounded,4,112,39,73,133.34675755729393
arm_ridge_bounded,5,111,38,73,78.3214788310612
pooled_interaction_ridge_bounded,1,112,39,73,158.09830668881597
pooled_interaction_ridge_bounded,2,112,39,73,-201.60041906846112
pooled_interaction_ridge_bounded,3,112,39,73,-14.565358675956196
pooled_interaction_ridge_bounded,4,112,39,73,133.061725340325
pooled_interaction_ridge_bounded,5,111,38,73,78.04584563699183
arm_hist_gradient_boosting_bounded,1,112,39,73,149.23084439585978
arm_hist_gradient_boosting_bounded,2,112,39,73,-183.4272166196262
arm_hist_gradient_boosting_bounded,3,112,39,73,-10.59782831239346
arm_hist_gradient_boosting_bounded,4,112,39,73,124.08033516425809
arm_hist_gradient_boosting_bounded,5,111,38,73,54.862534752981055
