model,omitted_fold,retained_n,leave_one_fold_out_effect_days
arm_mean,1,447,-4.229815174637396
arm_mean,2,447,76.58974021597028
arm_mean,3,447,40.791719313048574
arm_mean,4,447,1.034943138312012
arm_mean,5,448,15.417463240283785
arm_ridge_unbounded,1,447,-4.978276575561806
arm_ridge_unbounded,2,447,84.25029810718915
arm_ridge_unbounded,3,447,41.18793377045865
arm_ridge_unbounded,4,447,6.923900875904202
arm_ridge_unbounded,5,448,16.00217455059193
arm_ridge_bounded,1,447,-3.128933263488264
arm_ridge_bounded,2,447,85.30501741894834
arm_ridge_bounded,3,447,42.70290171966562
arm_ridge_bounded,4,447,6.8884745744601545
arm_ridge_bounded,5,448,17.24686836770051
pooled_interaction_ridge_bounded,1,447,-1.6584607041675492
pooled_interaction_ridge_bounded,2,447,87.22796909012709
pooled_interaction_ridge_bounded,3,447,44.21096316972073
pooled_interaction_ridge_bounded,4,447,9.4070635039551
pooled_interaction_ridge_bounded,5,448,19.851834436148653
arm_hist_gradient_boosting_bounded,1,447,-4.3430196986235465
arm_hist_gradient_boosting_bounded,2,447,77.99457254183335
arm_hist_gradient_boosting_bounded,3,447,38.1208986389672
arm_hist_gradient_boosting_bounded,4,447,6.535012402395589
arm_hist_gradient_boosting_bounded,5,448,20.880969578734422
