matrix,column,dtype,missing_fraction,n_unique
ite_ready,CLIN_ajcc_pathologic_stage.diagnoses_Stage IV,int64,0.0,2
ite_ready,CLIN_ajcc_pathologic_m.diagnoses_M1,int64,0.0,2
ite_ready,CLIN_ajcc_pathologic_n.diagnoses_N1b,int64,0.0,2
ite_ready,CLIN_ajcc_staging_system_edition.diagnoses_5th,int64,0.0,2
ite_ready,CLIN_ajcc_staging_system_edition.diagnoses_6th,int64,0.0,2
ite_ready,CLIN_age_at_index.demographic,float64,0.0,58
ite_ready,CLIN_ajcc_pathologic_n.diagnoses_N0 (i-),int64,0.0,2
ite_ready,CLIN_ajcc_pathologic_n.diagnoses_NX,int64,0.0,2
ite_ready,PROT_4EBP1,float64,0.0,506
ite_ready,PROT_ZAP-70,float64,0.0,491
ite_ready,METH_cg00101629,float64,0.0,451
ite_ready,CLIN_ajcc_pathologic_t.diagnoses_T4b,int64,0.0,2
ite_ready,RNA_ENSG00000264589.4,float64,0.0,351
ite_ready,CLIN_tissue_or_organ_of_origin.diagnoses_Lower-inner quadrant of breast,int64,0.0,2
ite_ready,"CLIN_tissue_or_organ_of_origin.diagnoses_Breast, NOS",int64,0.0,2
ite_ready,METH_cg19851563,float64,0.0,507
ite_ready,CLIN_ajcc_staging_system_edition.diagnoses_4th,int64,0.0,2
ite_ready,CLIN_ajcc_pathologic_stage.diagnoses_Stage III,int64,0.0,2
ite_ready,pathology_details.consistent_pathology_review,int64,0.0,2
ite_ready,pathology_details.lymph_nodes_positive,float64,0.0,58
ite_ready,pathology_details.lymph_nodes_tested,float64,0.0,48
ite_ready,ER_status,float64,0.0,25
ite_ready,HER2_status,float64,0.0,82
ite_ready,PR_status,float64,0.0,26
ite_ready,T,int64,0.0,2
ite_ready,Y,int64,0.0,2
ite_ready,patient_id,object,0.0,1076
ite_ready,propensity_score,float64,0.0,1076
ite_ready,T_hormone,int64,0.0,2
ite_ready,T_chemo,int64,0.0,2
ite_ready,T_targeted,int64,0.0,2
ite_ready,T_radiation,int64,0.0,2
ite_ready,T_hormone_excl,int64,0.0,2
complete_case:01_ultra_conservative,Unnamed: 0,object,0.0,526
complete_case:01_ultra_conservative,CLIN_gender.demographic,float64,0.0,2
complete_case:01_ultra_conservative,CLIN_age_at_index.demographic,float64,0.0,63
complete_case:01_ultra_conservative,CLIN_tumor_descriptor.samples,int64,0.0,1
complete_case:01_ultra_conservative,CLIN_disease_type_Adenomas and Adenocarcinomas,int64,0.0,2
complete_case:01_ultra_conservative,CLIN_disease_type_Adnexal and Skin Appendage Neoplasms,int64,0.0,1
complete_case:01_ultra_conservative,CLIN_disease_type_Basal Cell Neoplasms,int64,0.0,1
complete_case:01_ultra_conservative,CLIN_disease_type_Complex Epithelial Neoplasms,int64,0.0,2
complete_case:01_ultra_conservative,"CLIN_disease_type_Cystic, Mucinous and Serous Neoplasms",int64,0.0,2
