derived_feature,kind,source_columns,notes
W_age,continuous,CLIN_age_at_index.demographic,Age at baseline
W_stage,ordinal,CLIN_ajcc_pathologic_stage.diagnoses_Stage I|CLIN_ajcc_pathologic_stage.diagnoses_Stage IA|CLIN_ajcc_pathologic_stage.diagnoses_Stage IB|CLIN_ajcc_pathologic_stage.diagnoses_Stage II|CLIN_ajcc_pathologic_stage.diagnoses_Stage IIA|CLIN_ajcc_pathologic_stage.diagnoses_Stage IIB|CLIN_ajcc_pathologic_stage.diagnoses_Stage III|CLIN_ajcc_pathologic_stage.diagnoses_Stage IIIA|CLIN_ajcc_pathologic_stage.diagnoses_Stage IIIB|CLIN_ajcc_pathologic_stage.diagnoses_Stage IIIC|CLIN_ajcc_pathologic_stage.diagnoses_Stage IV|CLIN_ajcc_pathologic_stage.diagnoses_Stage X|CLIN_ajcc_pathologic_stage.diagnoses_missing,Collapsed AJCC pathologic stage
W_stage_missing,missing_indicator,CLIN_ajcc_pathologic_stage.diagnoses_Stage I|CLIN_ajcc_pathologic_stage.diagnoses_Stage IA|CLIN_ajcc_pathologic_stage.diagnoses_Stage IB|CLIN_ajcc_pathologic_stage.diagnoses_Stage II|CLIN_ajcc_pathologic_stage.diagnoses_Stage IIA|CLIN_ajcc_pathologic_stage.diagnoses_Stage IIB|CLIN_ajcc_pathologic_stage.diagnoses_Stage III|CLIN_ajcc_pathologic_stage.diagnoses_Stage IIIA|CLIN_ajcc_pathologic_stage.diagnoses_Stage IIIB|CLIN_ajcc_pathologic_stage.diagnoses_Stage IIIC|CLIN_ajcc_pathologic_stage.diagnoses_Stage IV|CLIN_ajcc_pathologic_stage.diagnoses_Stage X|CLIN_ajcc_pathologic_stage.diagnoses_missing,Stage unavailable/unknown
W_T,ordinal,CLIN_ajcc_pathologic_t.diagnoses_T1|CLIN_ajcc_pathologic_t.diagnoses_T1a|CLIN_ajcc_pathologic_t.diagnoses_T1b|CLIN_ajcc_pathologic_t.diagnoses_T1c|CLIN_ajcc_pathologic_t.diagnoses_T2|CLIN_ajcc_pathologic_t.diagnoses_T2a|CLIN_ajcc_pathologic_t.diagnoses_T2b|CLIN_ajcc_pathologic_t.diagnoses_T3|CLIN_ajcc_pathologic_t.diagnoses_T3a|CLIN_ajcc_pathologic_t.diagnoses_T4|CLIN_ajcc_pathologic_t.diagnoses_T4b|CLIN_ajcc_pathologic_t.diagnoses_T4d|CLIN_ajcc_pathologic_t.diagnoses_TX|CLIN_ajcc_pathologic_t.diagnoses_missing,Collapsed T category
W_T_missing,missing_indicator,CLIN_ajcc_pathologic_t.diagnoses_T1|CLIN_ajcc_pathologic_t.diagnoses_T1a|CLIN_ajcc_pathologic_t.diagnoses_T1b|CLIN_ajcc_pathologic_t.diagnoses_T1c|CLIN_ajcc_pathologic_t.diagnoses_T2|CLIN_ajcc_pathologic_t.diagnoses_T2a|CLIN_ajcc_pathologic_t.diagnoses_T2b|CLIN_ajcc_pathologic_t.diagnoses_T3|CLIN_ajcc_pathologic_t.diagnoses_T3a|CLIN_ajcc_pathologic_t.diagnoses_T4|CLIN_ajcc_pathologic_t.diagnoses_T4b|CLIN_ajcc_pathologic_t.diagnoses_T4d|CLIN_ajcc_pathologic_t.diagnoses_TX|CLIN_ajcc_pathologic_t.diagnoses_missing,Unknown category
W_N,ordinal,CLIN_ajcc_pathologic_n.diagnoses_N0|CLIN_ajcc_pathologic_n.diagnoses_N0 (i+)|CLIN_ajcc_pathologic_n.diagnoses_N0 (i-)|CLIN_ajcc_pathologic_n.diagnoses_N0 (mol+)|CLIN_ajcc_pathologic_n.diagnoses_N1|CLIN_ajcc_pathologic_n.diagnoses_N1a|CLIN_ajcc_pathologic_n.diagnoses_N1b|CLIN_ajcc_pathologic_n.diagnoses_N1c|CLIN_ajcc_pathologic_n.diagnoses_N1mi|CLIN_ajcc_pathologic_n.diagnoses_N2|CLIN_ajcc_pathologic_n.diagnoses_N2a|CLIN_ajcc_pathologic_n.diagnoses_N3|CLIN_ajcc_pathologic_n.diagnoses_N3a|CLIN_ajcc_pathologic_n.diagnoses_N3b|CLIN_ajcc_pathologic_n.diagnoses_N3c|CLIN_ajcc_pathologic_n.diagnoses_NX|CLIN_ajcc_pathologic_n.diagnoses_missing,Collapsed N category
W_N_missing,missing_indicator,CLIN_ajcc_pathologic_n.diagnoses_N0|CLIN_ajcc_pathologic_n.diagnoses_N0 (i+)|CLIN_ajcc_pathologic_n.diagnoses_N0 (i-)|CLIN_ajcc_pathologic_n.diagnoses_N0 (mol+)|CLIN_ajcc_pathologic_n.diagnoses_N1|CLIN_ajcc_pathologic_n.diagnoses_N1a|CLIN_ajcc_pathologic_n.diagnoses_N1b|CLIN_ajcc_pathologic_n.diagnoses_N1c|CLIN_ajcc_pathologic_n.diagnoses_N1mi|CLIN_ajcc_pathologic_n.diagnoses_N2|CLIN_ajcc_pathologic_n.diagnoses_N2a|CLIN_ajcc_pathologic_n.diagnoses_N3|CLIN_ajcc_pathologic_n.diagnoses_N3a|CLIN_ajcc_pathologic_n.diagnoses_N3b|CLIN_ajcc_pathologic_n.diagnoses_N3c|CLIN_ajcc_pathologic_n.diagnoses_NX|CLIN_ajcc_pathologic_n.diagnoses_missing,Unknown category
W_M,ordinal,CLIN_ajcc_pathologic_m.diagnoses_M0|CLIN_ajcc_pathologic_m.diagnoses_M1|CLIN_ajcc_pathologic_m.diagnoses_MX|CLIN_ajcc_pathologic_m.diagnoses_cM0 (i+)|CLIN_ajcc_pathologic_m.diagnoses_missing,Collapsed M category
W_M_missing,missing_indicator,CLIN_ajcc_pathologic_m.diagnoses_M0|CLIN_ajcc_pathologic_m.diagnoses_M1|CLIN_ajcc_pathologic_m.diagnoses_MX|CLIN_ajcc_pathologic_m.diagnoses_cM0 (i+)|CLIN_ajcc_pathologic_m.diagnoses_missing,Unknown category
W_nodes_positive,continuous,pathology_details.lymph_nodes_positive,Number of positive lymph nodes
